Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
03-01-2024,182.3555756,1282.160156,3438.209717,9876.458008,814.1766357,148.4700012,968.1802368,1402.8125
04-01-2024,180.0396423,1288.786011,3414.973389,9815.351563,822.9125977,144.5700073,971.2302856,1424.184082
05-01-2024,179.3171539,1294.270508,3481.189941,9817.018555,818.7027588,145.2400055,977.6746216,1442.872559
08-01-2024,183.6521301,1284.170288,3425.683594,9748.121094,809.5773926,149.1000061,966.1633301,1433.693115
09-01-2024,183.2364655,1280.770508,3436.486572,9823.975586,803.2747803,151.3699951,963.949585,1439.812988
10-01-2024,184.2756805,1315.314819,3458.047119,9810.353516,805.9272461,153.7299957,977.0350952,1430.962891
11-01-2024,183.6818237,1349.908813,3479.001953,9811.235352,802.5447998,155.1799927,975.1657715,1406.766602
12-01-2024,184.0084381,1360.654175,3616.138916,9766.693359,798.7485352,154.6199951,987.3165894,1518.379639
16-01-2024,181.7419891,1364.525513,3596.115479,9980.242188,817.2183838,153.1600037,992.7770996,1536.079712
17-01-2024,180.8017426,1351.571289,3617.814941,9851.025391,748.2792969,151.7100067,965.9173584,1544.223389
18-01-2024,186.690567,1357.899536,3634.579102,9726.364258,723.2879639,153.5,970.4431152,1546.483032
19-01-2024,189.5904236,1357.403198,3697.834473,9837.304688,715.7443848,155.3399963,983.0859375,1562.111572
